pixel_id,latitude,longitude,total_observations,observation_days,years_covered,first_observation,last_observation,months_covered,summer_observations,obs_per_year,temporal_span_days
SIN_9089_25927,52.12699015000016,-117.2301445999979,1408,704,15,2010-06-04,2024-09-29,60,1072,93.86666666666666,5231
SIN_9089_25925,52.126990150000076,-117.24361930000178,1386,693,15,2010-06-04,2024-09-24,60,1062,92.4,5226
SIN_9090_25924,52.12249857000059,-117.23912769999909,1380,690,15,2010-06-04,2024-09-28,60,1062,92.0,5230
SIN_9089_25923,52.126990150000026,-117.2570940000003,1374,687,15,2010-06-04,2024-09-17,60,1068,91.6,5219
SIN_9088_25926,52.13148173000071,-117.24811090000135,1368,684,15,2010-06-04,2024-09-24,60,1058,91.2,5226
SIN_9088_25928,52.13148173000071,-117.23463614999676,1366,683,15,2010-06-06,2024-09-29,60,1048,91.06666666666666,5229
SIN_9090_25925,52.122498570000644,-117.23014459999811,1364,682,15,2010-06-04,2024-09-17,60,1056,90.93333333333334,5219
SIN_9087_25923,52.13597329999934,-117.27955190000074,1354,677,15,2010-06-06,2024-09-17,60,1054,90.26666666666667,5217
SIN_9090_25922,52.122498570000694,-117.25260245000047,1352,676,15,2010-06-04,2024-09-17,60,1056,90.13333333333334,5219
SIN_9088_25924,52.13148173000071,-117.26158560000047,1348,674,15,2010-06-04,2024-09-17,60,1048,89.86666666666666,5219
SIN_9090_25920,52.12249857000076,-117.26607719999942,1334,667,15,2010-06-04,2024-09-17,60,1060,88.93333333333334,5219
SIN_9087_25925,52.13597329999935,-117.26607719999942,1334,667,15,2010-06-06,2024-09-17,60,1042,88.93333333333334,5217
SIN_9086_25925,52.140464880000835,-117.27955190000064,1332,666,15,2010-06-11,2024-09-17,60,1038,88.8,5212
SIN_9088_25922,52.13148173000071,-117.2750603500014,1326,663,15,2010-06-06,2024-09-28,60,1038,88.4,5228
SIN_9086_25927,52.14046488000087,-117.26607719999946,1324,662,15,2010-06-06,2024-09-17,60,1028,88.26666666666667,5217
SIN_9087_25933,52.13597329999936,-117.21217830000231,1320,660,15,2010-06-04,2024-09-29,60,1032,88.0,5231
SIN_9087_25935,52.13597329999936,-117.19870354999802,1318,659,15,2010-06-06,2024-09-29,60,1008,87.86666666666666,5229
SIN_9081_25933,52.158431180001344,-117.27056879999908,1316,658,15,2010-06-06,2024-09-17,60,1008,87.73333333333333,5217
SIN_9089_25921,52.12699014999979,-117.27056879999908,1316,658,15,2010-06-06,2024-09-17,60,1034,87.73333333333333,5217
SIN_9087_25927,52.13597329999936,-117.25260245000014,1312,656,15,2010-06-06,2024-09-24,60,1014,87.46666666666667,5224
SIN_9086_25928,52.14046488000098,-117.25709400000028,1302,651,15,2010-06-06,2024-09-17,60,1008,86.8,5217
SIN_9091_25920,52.118006999998734,-117.25260245000005,1302,651,15,2010-06-04,2024-09-17,60,1020,86.8,5219
SIN_9091_25918,52.11800699999874,-117.26607719999956,1298,649,15,2010-06-04,2024-09-17,60,1030,86.53333333333333,5219
SIN_9086_25923,52.14046488000101,-117.2930266500005,1296,648,15,2010-06-06,2024-09-17,60,1004,86.4,5217
SIN_9087_25931,52.135973299999364,-117.22565300000097,1292,646,15,2010-06-04,2024-09-17,60,1004,86.13333333333334,5219
SIN_9085_25926,52.14495645000006,-117.28404349999971,1288,644,15,2010-06-06,2024-09-17,60,992,85.86666666666666,5217
SIN_9083_25930,52.15393960999926,-117.27955190000044,1286,643,15,2010-06-06,2024-09-17,60,994,85.73333333333333,5217
SIN_9081_25931,52.1584311800015,-117.28404349999963,1278,639,15,2010-06-06,2024-09-17,60,966,85.2,5217
SIN_9085_25928,52.144956449999995,-117.2705687999991,1276,638,15,2010-06-06,2024-09-17,60,976,85.06666666666666,5217
SIN_9081_25935,52.158431180001514,-117.25709400000028,1274,637,15,2010-06-06,2024-09-17,60,990,84.93333333333334,5217
SIN_9084_25929,52.14944803000108,-117.27506035000134,1272,636,15,2010-06-06,2024-09-17,60,980,84.8,5217
SIN_9084_25927,52.149448030001075,-117.28853510000022,1268,634,15,2010-06-11,2024-09-17,60,972,84.53333333333333,5212
SIN_9083_25928,52.153939609999284,-117.29302665000075,1266,633,15,2010-06-11,2024-09-20,60,962,84.4,5215
SIN_9084_25931,52.14944803000106,-117.2615856000012,1258,629,15,2010-06-06,2024-09-17,60,978,83.86666666666666,5217
SIN_9081_25930,52.15843118000159,-117.29302665000084,1256,628,15,2010-06-06,2024-09-28,60,936,83.73333333333333,5228
SIN_9086_25938,52.14046488000122,-117.18972039999915,1254,627,15,2010-06-06,2024-09-29,60,948,83.6,5229
SIN_9083_25932,52.1539396099993,-117.26607719999976,1250,625,15,2010-06-06,2024-09-17,60,962,83.33333333333333,5217
SIN_9083_25948,52.153939609999306,-117.15827934999876,1244,622,15,2010-06-06,2024-09-26,60,994,82.93333333333334,5226
SIN_9087_25929,52.13597329999937,-117.23912769999912,1240,620,15,2010-06-06,2024-09-17,60,958,82.66666666666667,5217
SIN_9085_25930,52.14495644999989,-117.25709400000027,1224,612,15,2010-06-06,2024-09-17,60,958,81.6,5217
SIN_9086_25934,52.140464880001204,-117.21666985000081,1212,606,15,2010-06-06,2024-09-29,60,940,80.8,5229
SIN_9086_25936,52.140464880001204,-117.20319509999736,1204,602,15,2010-06-06,2024-09-29,60,922,80.26666666666667,5229
SIN_9085_25941,52.14495644999989,-117.18073720000221,1198,599,15,2010-06-06,2024-09-29,59,906,79.86666666666666,5229
SIN_9085_25934,52.14495644999989,-117.23014459999915,1190,595,15,2010-06-06,2024-09-17,60,926,79.33333333333333,5217
SIN_9084_25935,52.14944803000096,-117.23463614999707,1176,588,15,2010-06-06,2024-09-17,60,914,78.4,5217
SIN_9080_25939,52.162922759999155,-117.24361930000155,1166,583,15,2010-06-06,2024-09-17,59,894,77.73333333333333,5217
SIN_9083_25938,52.153939609999405,-117.22565300000093,1162,581,15,2010-06-06,2024-09-17,60,894,77.46666666666667,5217
SIN_9083_25936,52.15393960999943,-117.23912769999914,1138,569,15,2010-06-06,2024-09-17,60,892,75.86666666666666,5217
SIN_9081_25939,52.15843118000136,-117.23014459999969,1110,555,15,2010-06-06,2024-09-17,60,850,74.0,5217
SIN_9083_25940,52.1539396099995,-117.21217830000198,1092,546,15,2010-06-06,2024-09-17,60,854,72.8,5217
SIN_9088_25930,52.13148173000061,-117.2234071999993,700,700,15,2010-06-04,2024-09-29,60,535,46.666666666666664,5231
SIN_9089_25924,52.12699015000063,-117.25035669999961,696,696,15,2010-06-04,2024-09-24,60,537,46.4,5226
SIN_9089_25929,52.126990150000644,-117.21891559999969,692,692,15,2010-06-04,2024-09-29,60,532,46.13333333333333,5231
SIN_9088_25929,52.1314817300006,-117.22789880000198,688,688,15,2010-06-04,2024-09-29,60,527,45.86666666666667,5231
SIN_9088_25927,52.1314817300006,-117.24137350000062,684,684,15,2010-06-06,2024-09-24,60,526,45.6,5224
SIN_9088_25925,52.1314817300006,-117.25484819999876,682,682,15,2010-06-04,2024-09-17,60,526,45.46666666666667,5219
SIN_9088_25923,52.1314817300006,-117.26832299999809,674,674,15,2010-06-04,2024-09-17,60,530,44.93333333333333,5219
SIN_9090_25923,52.12249856999959,-117.24586510000029,672,672,15,2010-06-04,2024-09-17,60,521,44.8,5219
SIN_9087_25924,52.13597329999966,-117.27281460000074,671,671,15,2010-06-06,2024-09-17,60,523,44.733333333333334,5217
SIN_9090_25921,52.12249856999958,-117.2593398000014,669,669,15,2010-06-04,2024-09-17,60,530,44.6,5219
SIN_9090_25927,52.12249856999958,-117.21891559999986,668,668,15,2010-06-04,2024-09-29,60,514,44.53333333333333,5231
SIN_9090_25919,52.12249856999957,-117.27281460000074,667,667,15,2010-06-04,2024-09-17,60,527,44.46666666666667,5219
SIN_9089_25922,52.126990150000736,-117.26383140000083,667,667,15,2010-06-04,2024-09-17,60,523,44.46666666666667,5219
SIN_9088_25921,52.131481730000594,-117.28179769999987,664,664,15,2010-06-06,2024-09-17,60,517,44.266666666666666,5217
SIN_9083_25947,52.15393961000053,-117.16501669999965,664,664,15,2010-06-06,2024-09-29,59,514,44.266666666666666,5229
SIN_9087_25932,52.13597329999967,-117.21891559999992,662,662,15,2010-06-04,2024-09-29,60,518,44.13333333333333,5231
SIN_9087_25926,52.13597329999967,-117.25933980000138,662,662,15,2010-06-06,2024-09-17,60,512,44.13333333333333,5217
SIN_9086_25924,52.14046488000081,-117.28628929999871,658,658,15,2010-06-11,2024-09-17,60,511,43.86666666666667,5212
SIN_9087_25922,52.13597329999968,-117.28628929999871,657,657,15,2010-06-06,2024-09-17,60,507,43.8,5217
SIN_9090_25926,52.12249856999952,-117.22340719999931,657,657,15,2010-06-04,2024-09-29,60,504,43.8,5231
SIN_9089_25920,52.12699015000078,-117.2773060999996,656,656,15,2010-06-06,2024-09-17,60,517,43.733333333333334,5217
SIN_9087_25934,52.13597329999968,-117.20544089999875,656,656,15,2010-06-06,2024-09-29,60,505,43.733333333333334,5229
SIN_9086_25926,52.140464880000806,-117.27281460000074,655,655,15,2010-06-06,2024-09-17,60,511,43.666666666666664,5217
SIN_9089_25919,52.126990150000786,-117.28179769999994,655,655,15,2010-06-06,2024-09-17,60,513,43.666666666666664,5217
SIN_9081_25934,52.15843117999994,-117.2638314000007,653,653,15,2010-06-06,2024-09-17,60,506,43.53333333333333,5217
SIN_9087_25936,52.135973299999684,-117.1919662,652,652,15,2010-06-06,2024-09-17,60,502,43.46666666666667,5217
SIN_9091_25919,52.11800700000016,-117.25933980000136,650,650,15,2010-06-04,2024-09-17,60,511,43.333333333333336,5219
SIN_9087_25921,52.135973299999684,-117.2907809000013,649,649,15,2010-06-06,2024-09-17,60,497,43.266666666666666,5217
SIN_9088_25920,52.13148173000059,-117.28628929999871,648,648,15,2010-06-06,2024-09-17,60,500,43.2,5217
SIN_9081_25932,52.1584311799999,-117.27730609999954,647,647,15,2010-06-06,2024-09-17,60,489,43.13333333333333,5217
SIN_9084_25928,52.14944802999967,-117.28179770000004,645,645,15,2010-06-06,2024-09-17,60,495,43.0,5217
SIN_9085_25927,52.144956449999896,-117.2773060999995,643,643,15,2010-06-11,2024-09-17,60,496,42.86666666666667,5212
SIN_9084_25930,52.14944802999965,-117.26832299999816,641,641,15,2010-06-06,2024-09-17,60,491,42.733333333333334,5217
SIN_9083_25931,52.153939610000634,-117.27281460000074,638,638,15,2010-06-06,2024-09-17,60,494,42.53333333333333,5217
SIN_9085_25924,52.144956449999896,-117.29527240000003,638,638,15,2010-06-11,2024-09-17,60,488,42.53333333333333,5212
SIN_9085_25925,52.144956449999896,-117.29078090000127,637,637,15,2010-06-11,2024-09-17,60,488,42.46666666666667,5212
SIN_9085_25929,52.144956449999896,-117.26383140000053,636,636,15,2010-06-06,2024-09-17,60,494,42.4,5217
SIN_9083_25929,52.15393961000064,-117.28628929999873,635,635,15,2010-06-06,2024-09-17,60,485,42.333333333333336,5217
SIN_9087_25928,52.1359732999997,-117.24586509999999,634,634,15,2010-06-06,2024-09-17,60,489,42.266666666666666,5217
SIN_9092_25917,52.113515419999196,-117.25933980000131,628,628,15,2010-06-04,2024-09-17,60,494,41.86666666666667,5219
SIN_9083_25927,52.15393961000067,-117.29976400000074,625,625,15,2010-06-11,2024-09-28,60,477,41.666666666666664,5223
SIN_9086_25939,52.14046488000077,-117.18298299999987,625,625,15,2010-06-06,2024-09-29,59,485,41.666666666666664,5229
SIN_9084_25925,52.14944802999959,-117.29976400000075,624,624,15,2010-06-11,2024-09-28,60,477,41.6,5223
SIN_9084_25926,52.14944802999959,-117.29527239999989,624,624,15,2010-06-11,2024-09-20,60,479,41.6,5215
SIN_9086_25937,52.14046488000076,-117.19645779999928,620,620,15,2010-06-06,2024-09-29,60,474,41.333333333333336,5229
SIN_9085_25940,52.144956449999896,-117.18747460000077,620,620,15,2010-06-06,2024-09-29,59,477,41.333333333333336,5229
SIN_9087_25930,52.13597329999972,-117.23239039999972,618,618,15,2010-06-06,2024-09-17,60,479,41.2,5217
SIN_9079_25940,52.16741434000055,-117.24586509999986,618,618,15,2010-06-06,2024-09-17,60,468,41.2,5217
SIN_9080_25938,52.16292275999951,-117.25035670000021,617,617,15,2010-06-06,2024-09-17,60,475,41.13333333333333,5217
SIN_9086_25933,52.140464880000756,-117.22340719999931,614,614,15,2010-06-06,2024-09-17,60,476,40.93333333333333,5217
SIN_9083_25926,52.153939610000656,-117.3042556,613,613,15,2010-06-11,2024-09-28,60,467,40.86666666666667,5223
SIN_9083_25946,52.15393961000065,-117.16950830000036,611,611,15,2010-06-06,2024-09-29,59,469,40.733333333333334,5229
SIN_9081_25936,52.1584311799998,-117.2503567000003,607,607,15,2010-06-06,2024-09-17,60,474,40.46666666666667,5217
SIN_9081_25929,52.1584311799998,-117.29976400000088,607,607,15,2010-06-06,2024-09-28,60,458,40.46666666666667,5228
SIN_9086_25929,52.140464880000735,-117.25035670000034,602,602,15,2010-06-06,2024-09-17,60,464,40.13333333333333,5217
SIN_9081_25928,52.1584311799998,-117.3042556,601,601,15,2010-06-06,2024-09-28,60,458,40.06666666666667,5228
SIN_9086_25935,52.14046488000073,-117.2099325000013,597,597,15,2010-06-06,2024-09-24,60,463,39.8,5224
SIN_9084_25943,52.149448029999625,-117.17849140000136,595,595,15,2010-06-06,2024-09-29,60,461,39.666666666666664,5229
SIN_9083_25933,52.15393961000062,-117.25933980000123,592,592,15,2010-06-06,2024-09-17,60,463,39.46666666666667,5217
SIN_9085_25933,52.144956449999896,-117.23688189999837,591,591,15,2010-06-06,2024-09-17,60,460,39.4,5217
SIN_9086_25932,52.140464880000714,-117.22789880000174,590,590,15,2010-06-06,2024-09-17,60,461,39.333333333333336,5217
SIN_9084_25936,52.14944802999963,-117.22789880000173,589,589,15,2010-06-06,2024-09-17,60,455,39.266666666666666,5217
SIN_9085_25935,52.144956449999896,-117.22340719999933,586,586,15,2010-06-06,2024-09-17,60,453,39.06666666666667,5217
SIN_9083_25937,52.15393961000061,-117.23239040000009,585,585,15,2010-06-06,2024-09-17,60,453,39.0,5217
SIN_9084_25932,52.14944802999965,-117.25484819999883,580,580,15,2010-06-06,2024-09-17,60,451,38.666666666666664,5217
SIN_9081_25937,52.1584311799998,-117.24137350000056,579,579,15,2010-06-06,2024-09-17,60,450,38.6,5217
SIN_9085_25942,52.144956449999896,-117.17399989999876,577,577,15,2010-06-06,2024-09-29,59,451,38.46666666666667,5229
SIN_9084_25944,52.14944802999966,-117.17399989999876,571,571,15,2010-06-06,2024-09-26,59,447,38.06666666666667,5226
SIN_9083_25939,52.15393961000058,-117.21891560000077,564,564,15,2010-06-06,2024-09-17,60,434,37.6,5217
