pixel_id,latitude,longitude,pixel_col,pixel_row,observation_count
SIN_9079_25940,52.16741434,-117.2458651,25940,9079,618
SIN_9080_25938,52.16292276,-117.2503567,25938,9080,617
SIN_9080_25939,52.16292276,-117.2413735,25939,9080,583
SIN_9080_25939,52.16292276,-117.2458651,25939,9080,583
SIN_9080_25940,52.16292276,-117.2368819,25940,9080,556
SIN_9080_25941,52.16292276,-117.2323904,25941,9080,539
SIN_9081_25928,52.15843118,-117.3042556,25928,9081,601
SIN_9081_25929,52.15843118,-117.299764,25929,9081,607
SIN_9081_25930,52.15843118,-117.2952724,25930,9081,628
SIN_9081_25930,52.15843118,-117.2907809,25930,9081,628
SIN_9081_25931,52.15843118,-117.2817977,25931,9081,639
SIN_9081_25931,52.15843118,-117.2862893,25931,9081,639
SIN_9081_25932,52.15843118,-117.2773061,25932,9081,647
SIN_9081_25933,52.15843118,-117.268323,25933,9081,658
SIN_9081_25933,52.15843118,-117.2728146,25933,9081,658
SIN_9081_25934,52.15843118,-117.2638314,25934,9081,653
SIN_9081_25935,52.15843118,-117.2593398,25935,9081,637
SIN_9081_25935,52.15843118,-117.2548482,25935,9081,637
SIN_9081_25936,52.15843118,-117.2503567,25936,9081,607
SIN_9081_25937,52.15843118,-117.2413735,25937,9081,579
SIN_9081_25938,52.15843118,-117.2368819,25938,9081,561
SIN_9081_25939,52.15843118,-117.2323904,25939,9081,555
SIN_9081_25939,52.15843118,-117.2278988,25939,9081,555
SIN_9081_25940,52.15843118,-117.2234072,25940,9081,531
SIN_9081_25941,52.15843118,-117.2189156,25941,9081,540
SIN_9083_25926,52.15393961,-117.3042556,25926,9083,613
SIN_9083_25927,52.15393961,-117.299764,25927,9083,625
SIN_9083_25928,52.15393961,-117.2907809,25928,9083,633
SIN_9083_25928,52.15393961,-117.2952724,25928,9083,633
SIN_9083_25929,52.15393961,-117.2862893,25929,9083,635
SIN_9083_25930,52.15393961,-117.2817977,25930,9083,643
SIN_9083_25930,52.15393961,-117.2773061,25930,9083,643
SIN_9083_25931,52.15393961,-117.2728146,25931,9083,638
SIN_9083_25932,52.15393961,-117.2638314,25932,9083,625
SIN_9083_25932,52.15393961,-117.268323,25932,9083,625
SIN_9083_25933,52.15393961,-117.2593398,25933,9083,592
SIN_9083_25934,52.15393961,-117.2548482,25934,9083,563
SIN_9083_25935,52.15393961,-117.2458651,25935,9083,559
SIN_9083_25936,52.15393961,-117.2368819,25936,9083,569
